TabNam,ColNam,primary,Required,abbr,cat
drug_strength,ingredient_concept_id,FALSE,Yes,drgs,vocabulary
drug_strength,amount_value,FALSE,No,drgs,vocabulary
drug_strength,amount_unit_concept_id,FALSE,No,drgs,vocabulary
drug_strength,numerator_value,FALSE,No,drgs,vocabulary
drug_strength,numerator_unit_concept_id,FALSE,No,drgs,vocabulary
drug_strength,denominator_value,FALSE,No,drgs,vocabulary
drug_strength,denominator_unit_concept_id,FALSE,No,drgs,vocabulary
drug_strength,box_size,FALSE,No,drgs,vocabulary
drug_strength,valid_start_date,FALSE,Yes,drgs,vocabulary
drug_strength,valid_end_date,FALSE,Yes,drgs,vocabulary
drug_strength,invalid_reason,FALSE,No,drgs,vocabulary
cdm_source,cdm_source_name,FALSE,Yes,cdms,meta_data
cdm_source,cdm_source_abbreviation,FALSE,No,cdms,meta_data
cdm_source,cdm_holder,FALSE,No,cdms,meta_data
cdm_source,source_description,FALSE,No,cdms,meta_data
cdm_source,source_documentation_reference,FALSE,No,cdms,meta_data
cdm_source,cdm_etl _reference,FALSE,No,cdms,meta_data
cdm_source,source_release_date,FALSE,No,cdms,meta_data
cdm_source,cdm_release_date,FALSE,No,cdms,meta_data
cdm_source,cdm_version,FALSE,No,cdms,meta_data
cdm_source,vocabulary_version,FALSE,No,cdms,meta_data
metadata,metadata_concept_id,TRUE,Yes,mtdt,meta_data
metadata,metadata_type_concept_id,FALSE,Yes,mtdt,meta_data
metadata,name,FALSE,Yes,mtdt,meta_data
metadata,value_as_string,FALSE,No,mtdt,meta_data
metadata,value_as_concept_id,FALSE,No,mtdt,meta_data
metadata,metadata_date,FALSE,No,mtdt,meta_data
metadata,metadata_datetime,FALSE,No,mtdt,meta_data
person,person_id,TRUE,Yes,psrn,clinical
person,gender_concept_id,FALSE,Yes,psrn,clinical
person,year_of_birth,FALSE,Yes,psrn,clinical
person,month_of_birth,FALSE,No,psrn,clinical
person,day_of_birth,FALSE,No,psrn,clinical
person,birth_datetime,FALSE,No,psrn,clinical
person,death_datetime,FALSE,No,psrn,clinical
person,race_concept_id,FALSE,Yes,psrn,clinical
person,ethnicity_concept_id,FALSE,Yes,psrn,clinical
person,location_id,FALSE,No,psrn,clinical
person,provider_id,FALSE,No,psrn,clinical
person,care_site_id,FALSE,No,psrn,clinical
person,person_source_value,FALSE,No,psrn,clinical
person,gender_source_value,FALSE,No,psrn,clinical
person,gender_source_concept_id,FALSE,Yes,psrn,clinical
person,race_source_value,FALSE,No,psrn,clinical
person,race_source_concept_id,FALSE,Yes,psrn,clinical
person,ethnicity_source_value,FALSE,No,psrn,clinical
person,ethnicity_source_concept_id,FALSE,Yes,psrn,clinical
observation_period,observation_period_id,TRUE,Yes,obsp,clinical
observation_period,person_id,FALSE,Yes,obsp,clinical
observation_period,observation_period_start_date,FALSE,Yes,obsp,clinical
observation_period,observation_period_end_date,FALSE,Yes,obsp,clinical
observation_period,period_type_concept_id,FALSE,Yes,obsp,clinical
visit_occurrence,visit_occurrence_id,TRUE,Yes,vsto,clinical
visit_occurrence,person_id,FALSE,Yes,vsto,clinical
visit_occurrence,visit_concept_id,FALSE,Yes,vsto,clinical
visit_occurrence,visit_start_date,FALSE,No,vsto,clinical
visit_occurrence,visit_start_datetime,FALSE,Yes,vsto,clinical
visit_occurrence,visit_end_date,FALSE,No,vsto,clinical
visit_occurrence,visit_end_datetime,FALSE,Yes,vsto,clinical
visit_occurrence,visit_type_concept_id,FALSE,Yes,vsto,clinical
visit_occurrence,provider_id,FALSE,No,vsto,clinical
visit_occurrence,care_site_id,FALSE,No,vsto,clinical
visit_occurrence,visit_source_value,FALSE,No,vsto,clinical
visit_occurrence,visit_source_concept_id,FALSE,Yes,vsto,clinical
visit_occurrence,admitted_from_concept_id,FALSE,Yes,vsto,clinical
visit_occurrence,admitted_from_source_value,FALSE,No,vsto,clinical
visit_occurrence,discharge_to_concept_id,FALSE,Yes,vsto,clinical
visit_occurrence,discharge_to_source_value,FALSE,No,vsto,clinical
visit_occurrence,preceding_visit_occurrence_id,FALSE,No,vsto,clinical
visit_detail,visit_detail_id,TRUE,Yes,vstd,clinical
visit_detail,person_id,FALSE,Yes,vstd,clinical
visit_detail,visit_detail_concept_id,FALSE,Yes,vstd,clinical
visit_detail,visit_detail_start_date,FALSE,No,vstd,clinical
visit_detail,visit_detail_start_datetime,FALSE,Yes,vstd,clinical
visit_detail,visit_detail_end_date,FALSE,No,vstd,clinical
visit_detail,visit_detail_end_datetime,FALSE,Yes,vstd,clinical
visit_detail,visit_detail_type_concept_id,FALSE,Yes,vstd,clinical
visit_detail,provider_id,FALSE,No,vstd,clinical
visit_detail,care_site_id,FALSE,No,vstd,clinical
visit_detail,visit_detail_source_value,FALSE,No,vstd,clinical
visit_detail,visit_detail_source_concept_id,FALSE,Yes,vstd,clinical
visit_detail,admitted_from_source_value,FALSE,No,vstd,clinical
visit_detail,admitted_from_concept_id,FALSE,Yes,vstd,clinical
visit_detail,discharge_to_source_value,FALSE,No,vstd,clinical
visit_detail,discharge_to_concept_id,FALSE,Yes,vstd,clinical
visit_detail,preceding_visit_detail_id,FALSE,No,vstd,clinical
visit_detail,visit_detail_parent_id,FALSE,No,vstd,clinical
visit_detail,visit_occurrence_id,FALSE,Yes,vstd,clinical
condition_occurrence,condition_occurrence_id,TRUE,Yes,cndo,clinical
condition_occurrence,person_id,FALSE,Yes,cndo,clinical
condition_occurrence,condition_concept_id,FALSE,Yes,cndo,clinical
condition_occurrence,condition_start_date,FALSE,No,cndo,clinical
condition_occurrence,condition_start_datetime,FALSE,Yes,cndo,clinical
condition_occurrence,condition_end_date,FALSE,No,cndo,clinical
condition_occurrence,condition_end_datetime,FALSE,No,cndo,clinical
condition_occurrence,condition_type_concept_id,FALSE,Yes,cndo,clinical
condition_occurrence,condition_status_concept_id,FALSE,Yes,cndo,clinical
condition_occurrence,stop_reason,FALSE,No,cndo,clinical
condition_occurrence,provider_id,FALSE,No,cndo,clinical
condition_occurrence,visit_occurrence_id,FALSE,No,cndo,clinical
condition_occurrence,visit_detail_id,FALSE,No,cndo,clinical
condition_occurrence,condition_source_value,FALSE,No,cndo,clinical
condition_occurrence,condition_source_concept_id,FALSE,Yes,cndo,clinical
condition_occurrence,condition_status_source_value,FALSE,No,cndo,clinical
drug_exposure,drug_exposure_id,TRUE,Yes,drge,clinical
drug_exposure,person_id,FALSE,Yes,drge,clinical
drug_exposure,drug_concept_id,FALSE,Yes,drge,clinical
drug_exposure,drug_exposure_start_date,FALSE,No,drge,clinical
drug_exposure,drug_exposure_start_datetime,FALSE,Yes,drge,clinical
drug_exposure,drug_exposure_end_date,FALSE,No,drge,clinical
drug_exposure,drug_exposure_end_datetime,FALSE,Yes,drge,clinical
drug_exposure,verbatim_end_date,FALSE,No,drge,clinical
drug_exposure,drug_type_concept_id,FALSE,Yes,drge,clinical
drug_exposure,stop_reason,FALSE,No,drge,clinical
drug_exposure,refills,FALSE,No,drge,clinical
drug_exposure,quantity,FALSE,No,drge,clinical
drug_exposure,days_supply,FALSE,No,drge,clinical
drug_exposure,sig,FALSE,No,drge,clinical
drug_exposure,route_concept_id,FALSE,Yes,drge,clinical
drug_exposure,lot_number,FALSE,No,drge,clinical
drug_exposure,provider_id,FALSE,No,drge,clinical
drug_exposure,visit_occurrence_id,FALSE,No,drge,clinical
drug_exposure,visit_detail_id,FALSE,No,drge,clinical
drug_exposure,drug_source_value,FALSE,No,drge,clinical
drug_exposure,drug_source_concept_id,FALSE,Yes,drge,clinical
drug_exposure,route_source_value,FALSE,No,drge,clinical
drug_exposure,dose_unit_source_value,FALSE,No,drge,clinical
procedure_occurrence,procedure_occurrence_id,TRUE,Yes,prco,clinical
procedure_occurrence,person_id,FALSE,Yes,prco,clinical
procedure_occurrence,procedure_concept_id,FALSE,Yes,prco,clinical
procedure_occurrence,procedure_date,FALSE,No,prco,clinical
procedure_occurrence,procedure_datetime,FALSE,Yes,prco,clinical
procedure_occurrence,procedure_type_concept_id,FALSE,Yes,prco,clinical
procedure_occurrence,modifier_concept_id,FALSE,Yes,prco,clinical
procedure_occurrence,quantity,FALSE,No,prco,clinical
procedure_occurrence,provider_id,FALSE,No,prco,clinical
procedure_occurrence,visit_occurrence_id,FALSE,No,prco,clinical
procedure_occurrence,visit_detail_id,FALSE,No,prco,clinical
procedure_occurrence,procedure_source_value,FALSE,No,prco,clinical
procedure_occurrence,procedure_source_concept_id,FALSE,Yes,prco,clinical
procedure_occurrence,modifier_source_value,FALSE,No,prco,clinical
device_exposure,device_exposure_id,TRUE,Yes,dvce,clinical
device_exposure,person_id,FALSE,Yes,dvce,clinical
device_exposure,device_concept_id,FALSE,Yes,dvce,clinical
device_exposure,device_exposure_start_date,FALSE,No,dvce,clinical
device_exposure,device_exposure_start_datetime,FALSE,Yes,dvce,clinical
device_exposure,device_exposure_end_date,FALSE,No,dvce,clinical
device_exposure,device_exposure_end_datetime,FALSE,No,dvce,clinical
device_exposure,device_type_concept_id,FALSE,Yes,dvce,clinical
device_exposure,unique_device_id,FALSE,No,dvce,clinical
device_exposure,quantity,FALSE,No,dvce,clinical
device_exposure,provider_id,FALSE,No,dvce,clinical
device_exposure,visit_occurrence_id,FALSE,No,dvce,clinical
device_exposure,device_source_value,FALSE,No,dvce,clinical
device_exposure,device_source_ concept_id,FALSE,Yes,dvce,clinical
measurement,measurement_id,TRUE,Yes,msrm,clinical
measurement,person_id,FALSE,Yes,msrm,clinical
measurement,measurement_concept_id,FALSE,Yes,msrm,clinical
measurement,measurement_date,FALSE,No,msrm,clinical
measurement,measurement_datetime,FALSE,Yes,msrm,clinical
measurement,measurement_time,FALSE,No,msrm,clinical
measurement,measurement_type_concept_id,FALSE,Yes,msrm,clinical
measurement,operator_concept_id,FALSE,No,msrm,clinical
measurement,value_as_number,FALSE,No,msrm,clinical
measurement,value_as_concept_id,FALSE,No,msrm,clinical
measurement,unit_concept_id,FALSE,No,msrm,clinical
measurement,range_low,FALSE,No,msrm,clinical
measurement,range_high,FALSE,No,msrm,clinical
measurement,provider_id,FALSE,No,msrm,clinical
measurement,visit_occurrence_id,FALSE,No,msrm,clinical
measurement,visit_detail_id,FALSE,No,msrm,clinical
measurement,measurement_source_value,FALSE,No,msrm,clinical
measurement,measurement_source_concept_id,FALSE,Yes,msrm,clinical
measurement,unit_source_value,FALSE,No,msrm,clinical
measurement,value_source_value,FALSE,No,msrm,clinical
note,note_id,TRUE,Yes,note,clinical
note,person_id,FALSE,Yes,note,clinical
note,note_event_id,FALSE,No,note,clinical
note,note_event_field_concept_id,FALSE,No,note,clinical
note,note_date,FALSE,No,note,clinical
note,note_datetime,FALSE,Yes,note,clinical
note,note_type_concept_id,FALSE,Yes,note,clinical
note,note_class_concept_id,FALSE,Yes,note,clinical
note,note_title,FALSE,No,note,clinical
note,note_text,FALSE,Yes,note,clinical
note,encoding_concept_id,FALSE,Yes,note,clinical
note,language_concept_id,FALSE,Yes,note,clinical
note,provider_id,FALSE,No,note,clinical
note,visit_occurrence_id,FALSE,No,note,clinical
note,visit_detail_id,FALSE,No,note,clinical
note,note_source_value,FALSE,No,note,clinical
note_nlp,note_nlp_id,TRUE,Yes,nnlp,clinical
note_nlp,note_id,FALSE,Yes,nnlp,clinical
note_nlp,section_concept_id,FALSE,Yes,nnlp,clinical
note_nlp,snippet,FALSE,No,nnlp,clinical
note_nlp,offset,FALSE,No,nnlp,clinical
note_nlp,lexical_variant,FALSE,Yes,nnlp,clinical
note_nlp,note_nlp_concept_id,FALSE,Yes,nnlp,clinical
note_nlp,note_nlp_source_concept_id,FALSE,Yes,nnlp,clinical
note_nlp,nlp_system,FALSE,No,nnlp,clinical
note_nlp,nlp_date,FALSE,Yes,nnlp,clinical
note_nlp,nlp_datetime,FALSE,No,nnlp,clinical
note_nlp,term_exists,FALSE,No,nnlp,clinical
note_nlp,term_temporal,FALSE,No,nnlp,clinical
note_nlp,term_modifiers,FALSE,No,nnlp,clinical
survey_conduct,survey_conduct_id,TRUE,Yes,scdt,clinical
survey_conduct,person_id,FALSE,Yes,scdt,clinical
survey_conduct,survey_concept_id,FALSE,Yes,scdt,clinical
survey_conduct,survey_start_date,FALSE,No,scdt,clinical
survey_conduct,survey_start_datetime,FALSE,No,scdt,clinical
survey_conduct,survey_end_date,FALSE,No,scdt,clinical
survey_conduct,survey_end_datetime,FALSE,Yes,scdt,clinical
survey_conduct,provider_id,FALSE,No,scdt,clinical
survey_conduct,assisted_concept_id,FALSE,Yes,scdt,clinical
survey_conduct,respondent_type_concept_id,FALSE,Yes,scdt,clinical
survey_conduct,timing_concept_id,FALSE,Yes,scdt,clinical
survey_conduct,collection_method_concept_id,FALSE,Yes,scdt,clinical
survey_conduct,assisted_source_value,FALSE,No,scdt,clinical
survey_conduct,respondent_type_source_value,FALSE,No,scdt,clinical
survey_conduct,timing_source_value,FALSE,No,scdt,clinical
survey_conduct,collection_method_source_value,FALSE,No,scdt,clinical
survey_conduct,survey_source_value,FALSE,No,scdt,clinical
survey_conduct,survey_source_concept_id,FALSE,Yes,scdt,clinical
survey_conduct,survey_source_identifier,FALSE,No,scdt,clinical
survey_conduct,validated_survey_concept_id,FALSE,Yes,scdt,clinical
survey_conduct,validated_survey_source_value,FALSE,No,scdt,clinical
survey_conduct,survey_version_number,FALSE,No,scdt,clinical
survey_conduct,visit_occurrence_id,FALSE,No,scdt,clinical
survey_conduct,response_visit_occurrence_id,FALSE,No,scdt,clinical
observation,observation_id,TRUE,Yes,obsr,clinical
observation,person_id,FALSE,Yes,obsr,clinical
observation,observation_concept_id,FALSE,Yes,obsr,clinical
observation,observation_date,FALSE,No,obsr,clinical
observation,observation_datetime,FALSE,Yes,obsr,clinical
observation,observation_type_concept_id,FALSE,Yes,obsr,clinical
observation,value_as_number,FALSE,No,obsr,clinical
observation,value_as_string,FALSE,No,obsr,clinical
observation,value_as_concept_id,FALSE,No,obsr,clinical
observation,qualifier_concept_id,FALSE,No,obsr,clinical
observation,unit_concept_id,FALSE,No,obsr,clinical
observation,provider_id,FALSE,No,obsr,clinical
observation,visit_occurrence_id,FALSE,No,obsr,clinical
observation,visit_detail_id,FALSE,No,obsr,clinical
observation,observation_source_value,FALSE,No,obsr,clinical
observation,observation_source_concept_id,FALSE,Yes,obsr,clinical
observation,unit_source_value,FALSE,No,obsr,clinical
observation,qualifier_source_value,FALSE,No,obsr,clinical
observation,observation_event_id,FALSE,No,obsr,clinical
observation,obs_event_field_concept_id,FALSE,Yes,obsr,clinical
observation,value_as_datetime,FALSE,No,obsr,clinical
specimen,specimen_id,TRUE,Yes,spec,clinical
specimen,person_id,FALSE,Yes,spec,clinical
specimen,specimen_concept_id,FALSE,Yes,spec,clinical
specimen,specimen_type_concept_id,FALSE,Yes,spec,clinical
specimen,specimen_date,FALSE,No,spec,clinical
specimen,specimen_datetime,FALSE,Yes,spec,clinical
specimen,quantity,FALSE,No,spec,clinical
specimen,unit_concept_id,FALSE,No,spec,clinical
specimen,anatomic_site_concept_id,FALSE,Yes,spec,clinical
specimen,disease_status_concept_id,FALSE,Yes,spec,clinical
specimen,specimen_source_id,FALSE,No,spec,clinical
specimen,specimen_source_value,FALSE,No,spec,clinical
specimen,unit_source_value,FALSE,No,spec,clinical
specimen,anatomic_site_source_value,FALSE,No,spec,clinical
specimen,disease_status_source_value,FALSE,No,spec,clinical
fact_relationship,domain_concept _id_1,FALSE,Yes,fctr,clinical
fact_relationship,fact_id_1,FALSE,Yes,fctr,clinical
fact_relationship,domain_concept_id_2,FALSE,Yes,fctr,clinical
fact_relationship,fact_id_2,FALSE,Yes,fctr,clinical
fact_relationship,relationship_concept_id,FALSE,Yes,fctr,clinical
location,location_id,TRUE,Yes,loct,health_system
location,address_1,FALSE,No,loct,health_system
location,address_2,FALSE,No,loct,health_system
location,city,FALSE,No,loct,health_system
location,state,FALSE,No,loct,health_system
location,zip,FALSE,No,loct,health_system
location,county,FALSE,No,loct,health_system
location,country,FALSE,No,loct,health_system
location,location_source_value,FALSE,No,loct,health_system
location,latitude,FALSE,No,loct,health_system
location,longitude,FALSE,No,loct,health_system
location_history,location_id,TRUE,Yes,loch,health_system
location_history,relationship_type_concept_id,FALSE,Yes,loch,health_system
location_history,domain_id,FALSE,Yes,loch,health_system
location_history,entity_id,FALSE,Yes,loch,health_system
location_history,start_date,FALSE,Yes,loch,health_system
location_history,end_date,FALSE,No,loch,health_system
care_site,care_site_id,TRUE,Yes,cars,health_system
care_site,care_site_name,FALSE,No,cars,health_system
care_site,place_of_service_concept_id,FALSE,No,cars,health_system
care_site,location_id,FALSE,No,cars,health_system
care_site,care_site_source_value,FALSE,No,cars,health_system
care_site,place_of_service_source_value,FALSE,No,cars,health_system
provider,provider_id,TRUE,Yes,prvd,health_system
provider,provider_name,FALSE,No,prvd,health_system
provider,npi,FALSE,No,prvd,health_system
provider,dea,FALSE,No,prvd,health_system
provider,specialty_concept_id,FALSE,Yes,prvd,health_system
provider,care_site_id,FALSE,No,prvd,health_system
provider,year_of_birth,FALSE,No,prvd,health_system
provider,gender_concept_id,FALSE,Yes,prvd,health_system
provider,provider_source_value,FALSE,No,prvd,health_system
provider,specialty_source_value,FALSE,No,prvd,health_system
provider,specialty_source_concept_id,FALSE,Yes,prvd,health_system
provider,gender_source_value,FALSE,No,prvd,health_system
provider,gender_source_concept_id,FALSE,Yes,prvd,health_system
payer_plan_period,payer_plan_period_id,TRUE,Yes,pppr,health_econ
payer_plan_period,person_id,FALSE,Yes,pppr,health_econ
payer_plan_period,contract_person_id,FALSE,No,pppr,health_econ
payer_plan_period,payer_plan_period_start_date,FALSE,Yes,pppr,health_econ
payer_plan_period,payer_plan_period_end_date,FALSE,Yes,pppr,health_econ
payer_plan_period,payer_concept_id,FALSE,Yes,pppr,health_econ
payer_plan_period,payer_source_value,FALSE,No,pppr,health_econ
payer_plan_period,payer_source_concept_id,FALSE,Yes,pppr,health_econ
payer_plan_period,plan_concept_id,FALSE,Yes,pppr,health_econ
payer_plan_period,plan_source_value,FALSE,No,pppr,health_econ
payer_plan_period,plan_source_concept_id,FALSE,Yes,pppr,health_econ
payer_plan_period,contract_concept_id,FALSE,Yes,pppr,health_econ
payer_plan_period,contract_source_value,FALSE,No,pppr,health_econ
payer_plan_period,contract_source_concept_id,FALSE,Yes,pppr,health_econ
payer_plan_period,sponsor_concept_id,FALSE,Yes,pppr,health_econ
payer_plan_period,sponsor_source_value,FALSE,No,pppr,health_econ
payer_plan_period,sponsor_source_concept_id,FALSE,Yes,pppr,health_econ
payer_plan_period,family_source_value,FALSE,No,pppr,health_econ
payer_plan_period,stop_reason_concept_id,FALSE,Yes,pppr,health_econ
payer_plan_period,stop_reason_source_value,FALSE,No,pppr,health_econ
payer_plan_period,stop_reason_source_concept_id,FALSE,Yes,pppr,health_econ
cost,cost_id,TRUE,Yes,cost,health_econ
cost,person_id,FALSE,Yes,cost,health_econ
cost,cost_event_id,FALSE,Yes,cost,health_econ
cost,cost_event_field_concept_id,FALSE,Yes,cost,health_econ
cost,cost_concept_id,FALSE,Yes,cost,health_econ
cost,cost_type_concept_id,FALSE,Yes,cost,health_econ
cost,cost_source_concept_id,FALSE,Yes,cost,health_econ
cost,cost_source_value,FALSE,No,cost,health_econ
cost,currency_concept_id,FALSE,Yes,cost,health_econ
cost,cost,FALSE,Yes,cost,health_econ
cost,incurred_date,FALSE,Yes,cost,health_econ
cost,billed_date,FALSE,No,cost,health_econ
cost,paid_date,FALSE,No,cost,health_econ
cost,revenue_code_concept_id,FALSE,Yes,cost,health_econ
cost,drg_concept_id,FALSE,Yes,cost,health_econ
cost,revenue_code_source_value,FALSE,No,cost,health_econ
cost,drg_source_value,FALSE,No,cost,health_econ
cost,payer_plan_period_id,FALSE,No,cost,health_econ
drug_era,drug_era_id,TRUE,Yes,drge,derived_element
drug_era,person_id,FALSE,Yes,drge,derived_element
drug_era,drug_concept_id,FALSE,Yes,drge,derived_element
drug_era,drug_era_start_datetime,FALSE,Yes,drge,derived_element
drug_era,drug_era_end_datetime,FALSE,Yes,drge,derived_element
drug_era,drug_exposure_count,FALSE,No,drge,derived_element
drug_era,gap_days,FALSE,No,drge,derived_element
dose_era,dose_era_id,FALSE,Yes,dose,derived_element
dose_era,person_id,FALSE,Yes,dose,derived_element
dose_era,drug_concept_id,FALSE,Yes,dose,derived_element
dose_era,unit_concept_id,FALSE,Yes,dose,derived_element
dose_era,dose_value,FALSE,Yes,dose,derived_element
dose_era,dose_era_start_datetime,FALSE,Yes,dose,derived_element
dose_era,dose_era_end_datetime,FALSE,Yes,dose,derived_element
condition_era,condition_era_id,TRUE,Yes,cnde,derived_element
condition_era,person_id,FALSE,Yes,cnde,derived_element
condition_era,condition_concept_id,FALSE,Yes,cnde,derived_element
condition_era,condition_era_start_datetime,FALSE,Yes,cnde,derived_element
condition_era,condition_era_end_datetime,FALSE,Yes,cnde,derived_element
condition_era,condition_occurrence_count,FALSE,No,cnde,derived_element
cohort,cohort_definition_id,FALSE,Yes,chrt,results
cohort,subject_id,FALSE,Yes,chrt,results
cohort,cohort_start_date,FALSE,Yes,chrt,results
cohort,cohort_end_date,FALSE,Yes,chrt,results
cohort_definition,cohort_definition_id,TRUE,Yes,cohd,results
cohort_definition,cohort_definition_name,FALSE,Yes,cohd,results
cohort_definition,cohort_definition_description,FALSE,No,cohd,results
cohort_definition,definition_type_concept_id,FALSE,Yes,cohd,results
cohort_definition,cohort_definition_syntax,FALSE,No,cohd,results
cohort_definition,subject_concept_id,FALSE,Yes,cohd,results
cohort_definition,cohort_initiation_date,FALSE,No,cohd,results
