TabNam,ColNam,DQLVL,DQLVL,abbr,cat
concept_class,concept_class_name,Yes,H,cncl,vocabulary
concept_class,concept_class_concept_id,Yes,H,cncl,vocabulary
concept_relationship,concept_id_1,Yes,H,cnrl,vocabulary
concept_relationship,concept_id_2,Yes,H,cnrl,vocabulary
concept_relationship,relationship_id,Yes,H,cnrl,vocabulary
concept_relationship,valid_start_date,Yes,H,cnrl,vocabulary
concept_relationship,valid_end_date,Yes,H,cnrl,vocabulary
concept_relationship,invalid_reason,No,L,cnrl,vocabulary
concept_synonym,concept_id,Yes,H,cnsy,vocabulary
concept_synonym,concept_synonym_name,Yes,H,cnsy,vocabulary
concept_synonym,language_concept_id,Yes,H,cnsy,vocabulary
condition_era,condition_era_id,Yes,Yes,cnde,derived_element
condition_era,person_id,Yes,Yes,cnde,derived_element
condition_era,condition_concept_id,Yes,Yes,cnde,derived_element
condition_era,condition_era_start_date,Yes,Yes,cnde,derived_element
condition_era,condition_era_end_date,Yes,Yes,cnde,derived_element
condition_era,condition_occurrence_count,No,No,cnde,derived_element
condition_occurrence,condition_occurrence_id,Yes,Yes,cndo,clinical
condition_occurrence,person_id,Yes,Yes,cndo,clinical
condition_occurrence,condition_concept_id,Yes,Yes,cndo,clinical
condition_occurrence,condition_start_date,Yes,Yes,cndo,clinical
condition_occurrence,condition_start_datetime,No,No,cndo,clinical
condition_occurrence,condition_end_date,No,No,cndo,clinical
condition_occurrence,condition_end_datetime,No,No,cndo,clinical
condition_occurrence,condition_type_concept_id,Yes,Yes,cndo,clinical
condition_occurrence,stop_reason,No,No,cndo,clinical
condition_occurrence,provider_id,No,No,cndo,clinical
condition_occurrence,visit_occurrence_id,No,No,cndo,clinical
condition_occurrence,visit_detail_id,No,No,cndo,clinical
condition_occurrence,condition_source_value,No,No,cndo,clinical
condition_occurrence,condition_source_concept_id,No,No,cndo,clinical
condition_occurrence,condition_status_source_value,No,No,cndo,clinical
condition_occurrence,condition_status_concept_id,No,No,cndo,clinical
cost,cost_id,Yes,Yes,cst,health_econ
cost,cost_event_id,Yes,Yes,cst,health_econ
cost,cost_domain_id,Yes,Yes,cst,health_econ
cost,cost_type_concept_id,Yes,Yes,cst,health_econ
cost,currency_concept_id,No,No,cst,health_econ
cost,total_charge,No,No,cst,health_econ
cost,total_cost,No,No,cst,health_econ
cost,total_paid,No,No,cst,health_econ
cost,paid_by_payer,No,No,cst,health_econ
cost,paid_by_patient,No,No,cst,health_econ
cost,paid_patient_copay,No,No,cst,health_econ
cost,paid_patient_coinsurance,No,No,cst,health_econ
cost,paid_patient_deductible,No,No,cst,health_econ
cost,paid_by_primary,No,No,cst,health_econ
cost,paid_ingredient_cost,No,No,cst,health_econ
cost,paid_dispensing_fee,No,No,cst,health_econ
cost,payer_plan_period_id,No,No,cst,health_econ
cost,amount_allowed,No,No,cst,health_econ
cost,revenue_code_concept_id,No,No,cst,health_econ
cost,revenue_code_source_value,No,No,cst,health_econ
cost,drg_concept_id,No,No,cst,health_econ
cost,drg_source_value,No,No,cst,health_econ
death,person_id,Yes,Yes,deth,clinical
death,death_date,Yes,Yes,deth,clinical
death,death_datetime,No,No,deth,clinical
death,death_type_concept_id,Yes,Yes,deth,clinical
death,cause_concept_id,No,No,deth,clinical
death,cause_source_value,No,No,deth,clinical
death,cause_source_concept_id,No,No,deth,clinical
device_exposure,device_exposure_id,Yes,Yes,dvce,clinical
device_exposure,person_id,Yes,Yes,dvce,clinical
device_exposure,device_concept_id,Yes,Yes,dvce,clinical
device_exposure,device_exposure_start_date,Yes,Yes,dvce,clinical
device_exposure,device_exposure_start_datetime,No,No,dvce,clinical
device_exposure,device_exposure_end_date,No,No,dvce,clinical
device_exposure,device_exposure_end_datetime,No,No,dvce,clinical
device_exposure,device_type_concept_id,Yes,Yes,dvce,clinical
device_exposure,unique_device_id,No,No,dvce,clinical
device_exposure,quantity,No,No,dvce,clinical
device_exposure,provider_id,No,No,dvce,clinical
device_exposure,visit_occurrence_id,No,No,dvce,clinical
device_exposure,visit_detail_id,No,No,dvce,clinical
device_exposure,device_source_value,No,No,dvce,clinical
device_exposure,device_source_concept_id,No,No,dvce,clinical
domain,domain_id,Yes,Yes,domn,vocabulary
domain,domain_name,Yes,Yes,domn,vocabulary
domain,domain_concept_id,Yes,Yes,domn,vocabulary
dose_era,dose_era_id,Yes,Yes,dose,derived_element
dose_era,person_id,Yes,Yes,dose,derived_element
dose_era,drug_concept_id,Yes,Yes,dose,derived_element
dose_era,unit_concept_id,Yes,Yes,dose,derived_element
dose_era,dose_value,Yes,Yes,dose,derived_element
dose_era,dose_era_start_date,Yes,Yes,dose,derived_element
dose_era,dose_era_end_date,Yes,Yes,dose,derived_element
drug_era,drug_era_id,Yes,Yes,dose,derived_element
drug_era,person_id,Yes,Yes,dose,derived_element
drug_era,drug_concept_id,Yes,Yes,dose,derived_element
drug_era,drug_era_start_date,Yes,Yes,dose,derived_element
drug_era,drug_era_end_date,Yes,Yes,dose,derived_element
drug_era,drug_exposure_count,No,No,dose,derived_element
drug_era,gap_days,No,No,dose,derived_element
drug_exposure,drug_exposure_id,Yes,Yes,drge,derived_element
drug_exposure,person_id,Yes,Yes,drge,derived_element
drug_exposure,drug_concept_id,Yes,Yes,drge,derived_element
drug_exposure,drug_exposure_start_date,Yes,Yes,drge,derived_element
drug_exposure,drug_exposure_start_datetime,No,No,drge,derived_element
drug_exposure,drug_exposure_end_date,Yes,Yes,drge,derived_element
drug_exposure,drug_exposure_end_datetime,No,No,drge,derived_element
drug_exposure,verbatim_end_date,No,No,drge,derived_element
drug_exposure,drug_type_concept_id,Yes,Yes,drge,derived_element
drug_exposure,stop_reason,No,No,drge,derived_element
drug_exposure,refills,No,No,drge,derived_element
drug_exposure,quantity,No,No,drge,derived_element
drug_exposure,days_supply,No,No,drge,derived_element
drug_exposure,sig,No,No,drge,derived_element
drug_exposure,route_concept_id,No,No,drge,derived_element
drug_exposure,lot_number,No,No,drge,derived_element
drug_exposure,provider_id,No,No,drge,derived_element
drug_exposure,visit_occurrence_id,No,No,drge,derived_element
drug_exposure,visit_detail_id,No,No,drge,derived_element
drug_exposure,drug_source_value,No,No,drge,derived_element
drug_exposure,drug_source_concept_id,No,No,drge,derived_element
drug_exposure,route_source_value,No,No,drge,derived_element
drug_exposure,dose_unit_source_value,No,No,drge,derived_element
drug_strength,drug_concept_id,Yes,Yes,drgs,vocabulary
drug_strength,ingredient_concept_id,Yes,Yes,drgs,vocabulary
drug_strength,amount_value,No,No,drgs,vocabulary
drug_strength,amount_unit_concept_id,No,No,drgs,vocabulary
drug_strength,numerator_value,No,No,drgs,vocabulary
drug_strength,numerator_unit_concept_id,No,No,drgs,vocabulary
drug_strength,denominator_value,No,No,drgs,vocabulary
drug_strength,denominator_unit_concept_id,No,No,drgs,vocabulary
drug_strength,box_size,No,No,drgs,vocabulary
drug_strength,valid_start_date,Yes,Yes,drgs,vocabulary
drug_strength,valid_end_date,Yes,Yes,drgs,vocabulary
drug_strength,invalid_reason,No,No,drgs,vocabulary
fact_relationship,domain_concept_id_1,Yes,Yes,fctr,clinical
fact_relationship,fact_id_1,Yes,Yes,fctr,clinical
fact_relationship,domain_concept_id_2,Yes,Yes,fctr,clinical
fact_relationship,fact_id_2,Yes,Yes,fctr,clinical
fact_relationship,relationship_concept_id,Yes,Yes,fctr,clinical
location,location_id,Yes,Yes,loct,health_system
location,address_1,No,No,loct,health_system
location,address_2,No,No,loct,health_system
location,city,No,No,loct,health_system
location,state,No,No,loct,health_system
location,zip,No,No,loct,health_system
location,county,No,No,loct,health_system
location,location_source_value,No,No,loct,health_system
measurement,measurement_id,Yes,Yes,msrm,clinical
measurement,person_id,Yes,Yes,msrm,clinical
measurement,measurement_concept_id,Yes,Yes,msrm,clinical
measurement,measurement_date,Yes,Yes,msrm,clinical
measurement,measurement_datetime,No,No,msrm,clinical
measurement,measurement_time,No,No,msrm,clinical
measurement,measurement_type_concept_id,Yes,Yes,msrm,clinical
measurement,operator_concept_id,No,No,msrm,clinical
measurement,value_as_number,No,No,msrm,clinical
measurement,value_as_concept_id,No,No,msrm,clinical
measurement,unit_concept_id,No,No,msrm,clinical
measurement,range_low,No,No,msrm,clinical
measurement,range_high,No,No,msrm,clinical
measurement,provider_id,No,No,msrm,clinical
measurement,visit_occurrence_id,No,No,msrm,clinical
measurement,visit_detail_id,No,No,msrm,clinical
measurement,measurement_source_value,No,No,msrm,clinical
measurement,measurement_source_concept_id,No,No,msrm,clinical
measurement,unit_source_value,No,No,msrm,clinical
measurement,value_source_value,No,No,msrm,clinical
note,note_id,Yes,Yes,note,clinical
note,person_id,Yes,Yes,note,clinical
note,note_date,Yes,Yes,note,clinical
note,note_datetime,No,No,note,clinical
note,note_type_concept_id,Yes,Yes,note,clinical
note,note_class_concept_id,Yes,Yes,note,clinical
note,note_title,No,No,note,clinical
note,note_text,Yes,Yes,note,clinical
note,encoding_concept_id,Yes,Yes,note,clinical
note,language_concept_id,Yes,Yes,note,clinical
note,provider_id,No,No,note,clinical
note,visit_occurrence_id,No,No,note,clinical
note,visit_detail_id,No,No,note,clinical
note,note_source_value,No,No,note,clinical
note_nlp,note_nlp_id,Yes,Yes,ntnlp,clinical
note_nlp,note_id,Yes,Yes,ntnlp,clinical
note_nlp,section_concept_id,No,No,ntnlp,clinical
note_nlp,snippet,No,No,ntnlp,clinical
note_nlp,offset,No,No,ntnlp,clinical
note_nlp,lexical_variant,Yes,Yes,ntnlp,clinical
note_nlp,note_nlp_concept_id,No,No,ntnlp,clinical
note_nlp,note_nlp_source_concept_id,No,No,ntnlp,clinical
note_nlp,nlp_system,No,No,ntnlp,clinical
note_nlp,nlp_date,Yes,Yes,ntnlp,clinical
note_nlp,nlp_datetime,No,No,ntnlp,clinical
note_nlp,term_exists,No,No,ntnlp,clinical
note_nlp,term_temporal,No,No,ntnlp,clinical
note_nlp,term_modifiers,No,No,ntnlp,clinical
observation,observation_id,Yes,Yes,obsr,clinical
observation,person_id,Yes,Yes,obsr,clinical
observation,observation_concept_id,Yes,Yes,obsr,clinical
observation,observation_date,Yes,Yes,obsr,clinical
observation,observation_datetime,No,No,obsr,clinical
observation,observation_type_concept_id,Yes,Yes,obsr,clinical
observation,value_as_number,No,No,obsr,clinical
observation,value_as_string,No,No,obsr,clinical
observation,value_as_concept_id,No,No,obsr,clinical
observation,qualifier_concept_id,No,No,obsr,clinical
observation,unit_concept_id,No,No,obsr,clinical
observation,provider_id,No,No,obsr,clinical
observation,visit_occurrence_id,No,No,obsr,clinical
observation,visit_detail_id,No,No,obsr,clinical
observation,observation_source_value,No,No,obsr,clinical
observation,observation_source_concept_id,No,No,obsr,clinical
observation,unit_source_value,No,No,obsr,clinical
observation,qualifier_source_value,No,No,obsr,clinical
observation_period,observation_period_id,Yes,Yes,obsp,clinical
observation_period,person_id,Yes,Yes,obsp,clinical
observation_period,observation_period_start_date,Yes,Yes,obsp,clinical
observation_period,observation_period_end_date,Yes,Yes,obsp,clinical
observation_period,period_type_concept_id,Yes,Yes,obsp,clinical
payer_plan_period,payer_plan_period_id,Yes,Yes,pppr,health_econ
payer_plan_period,person_id,Yes,Yes,pppr,health_econ
payer_plan_period,payer_plan_period_start_date,Yes,Yes,pppr,health_econ
payer_plan_period,payer_plan_period_end_date,Yes,Yes,pppr,health_econ
payer_plan_period,payer_source_value,No,No,pppr,health_econ
payer_plan_period,plan_source_value,No,No,pppr,health_econ
payer_plan_period,family_source_value,No,No,pppr,health_econ
person,person_id,Yes,Yes,psrn,clinical
person,gender_concept_id,Yes,Yes,psrn,clinical
person,year_of_birth,Yes,Yes,psrn,clinical
person,month_of_birth,No,No,psrn,clinical
person,day_of_birth,No,No,psrn,clinical
person,birth_datetime,No,No,psrn,clinical
person,race_concept_id,Yes,Yes,psrn,clinical
person,ethnicity_concept_id,Yes,Yes,psrn,clinical
person,location_id,No,No,psrn,clinical
person,provider_id,No,No,psrn,clinical
person,care_site_id,No,No,psrn,clinical
person,person_source_value,No,No,psrn,clinical
person,gender_source_value,No,No,psrn,clinical
person,gender_source_concept_id,No,No,psrn,clinical
person,race_source_value,No,No,psrn,clinical
person,race_source_concept_id,No,No,psrn,clinical
person,ethnicity_source_value,No,No,psrn,clinical
person,ethnicity_source_concept_id,No,No,psrn,clinical
procedure_occurrence,procedure_occurrence_id,Yes,Yes,prco,clinical
procedure_occurrence,person_id,Yes,Yes,prco,clinical
procedure_occurrence,procedure_concept_id,Yes,Yes,prco,clinical
procedure_occurrence,procedure_date,Yes,Yes,prco,clinical
procedure_occurrence,procedure_datetime,No,No,prco,clinical
procedure_occurrence,procedure_type_concept_id,Yes,Yes,prco,clinical
procedure_occurrence,modifier_concept_id,No,No,prco,clinical
procedure_occurrence,quantity,No,No,prco,clinical
procedure_occurrence,provider_id,No,No,prco,clinical
procedure_occurrence,visit_occurrence_id,No,No,prco,clinical
procedure_occurrence,visit_detail_id,No,No,prco,clinical
procedure_occurrence,procedure_source_value,No,No,prco,clinical
procedure_occurrence,procedure_source_concept_id,No,No,prco,clinical
procedure_occurrence,modifier_source_value,No,No,prco,clinical
provider,provider_id,Yes,Yes,prvd,health_system
provider,provider_name,No,No,prvd,health_system
provider,npi,No,No,prvd,health_system
provider,dea,No,No,prvd,health_system
provider,specialty_concept_id,No,No,prvd,health_system
provider,care_site_id,No,No,prvd,health_system
provider,year_of_birth,No,No,prvd,health_system
provider,gender_concept_id,No,No,prvd,health_system
provider,provider_source_value,No,No,prvd,health_system
provider,specialty_source_value,No,No,prvd,health_system
provider,specialty_source_concept_id,No,No,prvd,health_system
provider,gender_source_value,No,No,prvd,health_system
provider,gender_source_concept_id,No,No,prvd,health_system
relationship,relationship_id,Yes,Yes,rlsh,vocabulary
relationship,relationship_name,Yes,Yes,rlsh,vocabulary
relationship,is_hierarchical,Yes,Yes,rlsh,vocabulary
relationship,defines_ancestry,Yes,Yes,rlsh,vocabulary
relationship,reverse_relationship_id,Yes,Yes,rlsh,vocabulary
relationship,relationship_concept_id,Yes,Yes,rlsh,vocabulary
source_to_concept_map,source_code,Yes,Yes,stcm,vocabulary
source_to_concept_map,source_concept_id,Yes,Yes,stcm,vocabulary
source_to_concept_map,source_vocabulary_id,Yes,Yes,stcm,vocabulary
source_to_concept_map,source_code_description,No,No,stcm,vocabulary
source_to_concept_map,target_concept_id,Yes,Yes,stcm,vocabulary
source_to_concept_map,target_vocabulary_id,Yes,Yes,stcm,vocabulary
source_to_concept_map,valid_start_date,Yes,Yes,stcm,vocabulary
source_to_concept_map,valid_end_date,Yes,Yes,stcm,vocabulary
source_to_concept_map,invalid_reason,No,No,stcm,vocabulary
specimen,specimen_id,Yes,Yes,spec,clinical
specimen,person_id,Yes,Yes,spec,clinical
specimen,specimen_concept_id,Yes,Yes,spec,clinical
specimen,specimen_type_concept_id,Yes,Yes,spec,clinical
specimen,specimen_date,Yes,Yes,spec,clinical
specimen,specimen_datetime,No,No,spec,clinical
specimen,quantity,No,No,spec,clinical
specimen,unit_concept_id,No,No,spec,clinical
specimen,anatomic_site_concept_id,No,No,spec,clinical
specimen,disease_status_concept_id,No,No,spec,clinical
specimen,specimen_source_id,No,No,spec,clinical
specimen,specimen_source_value,No,No,spec,clinical
specimen,unit_source_value,No,No,spec,clinical
specimen,anatomic_site_source_value,No,No,spec,clinical
specimen,disease_status_source_value,No,No,spec,clinical
visit_detail,visit_detail_id,Yes,Yes,vstd,clinical
visit_detail,person_id,Yes,Yes,vstd,clinical
visit_detail,visit_concept_id,Yes,Yes,vstd,clinical
visit_detail,visit_start_date,Yes,Yes,vstd,clinical
visit_detail,visit_start_datetime,No,No,vstd,clinical
visit_detail,visit_end_date,Yes,Yes,vstd,clinical
visit_detail,visit_end_datetime,No,No,vstd,clinical
visit_detail,visit_type_concept_id,Yes,Yes,vstd,clinical
visit_detail,provider_id,No,No,vstd,clinical
visit_detail,care_site_id,No,No,vstd,clinical
visit_detail,visit_source_value,No,No,vstd,clinical
visit_detail,visit_source_concept_id,No,No,vstd,clinical
visit_detail,admitting_source_value,No,No,vstd,clinical
visit_detail,admitting_source_concept_id,No,No,vstd,clinical
visit_detail,discharge_to_source_value,No,No,vstd,clinical
visit_detail,discharge_to_concept_id,No,No,vstd,clinical
visit_detail,preceding_visit_detail_id,No,No,vstd,clinical
visit_detail,visit_detail_parent_id,No,No,vstd,clinical
visit_detail,visit_occurrence_id,Yes,Yes,vstd,clinical
visit_occurrence,visit_occurrence_id,Yes,Yes,vsto,clinical
visit_occurrence,person_id,Yes,Yes,vsto,clinical
visit_occurrence,visit_concept_id,Yes,Yes,vsto,clinical
visit_occurrence,visit_start_date,Yes,Yes,vsto,clinical
visit_occurrence,visit_start_datetime,No,No,vsto,clinical
visit_occurrence,visit_end_date,Yes,Yes,vsto,clinical
visit_occurrence,visit_end_datetime,No,No,vsto,clinical
visit_occurrence,visit_type_concept_id,Yes,Yes,vsto,clinical
visit_occurrence,provider_id,No,No,vsto,clinical
visit_occurrence,care_site_id,No,No,vsto,clinical
visit_occurrence,visit_source_value,No,No,vsto,clinical
visit_occurrence,visit_source_concept_id,No,No,vsto,clinical
visit_occurrence,admitting_source_concept_id,No,No,vsto,clinical
visit_occurrence,admitting_source_value,No,No,vsto,clinical
visit_occurrence,discharge_to_concept_id,No,No,vsto,clinical
visit_occurrence,discharge_to_source_value,No,No,vsto,clinical
visit_occurrence,preceding_visit_occurrence_id,No,No,vsto,clinical
vocabulary,vocabulary_id,Yes,Yes,vocb,vocabulary
vocabulary,vocabulary_name,Yes,Yes,vocb,vocabulary
vocabulary,vocabulary_reference,Yes,Yes,vocb,vocabulary
vocabulary,vocabulary_version,No,No,vocb,vocabulary
vocabulary,vocabulary_concept_id,Yes,Yes,vocb,vocabulary
